2025-02-21 11:44:17,720 - INFO - Starting reverse geocoding process...
2025-02-21 11:44:17,852 - INFO - Loaded GeoJSON data: 7961 locations
2025-02-21 11:44:17,852 - INFO - Columns: ['type', 'subtype', 'geometry']
2025-02-21 11:44:17,853 - INFO - CRS: EPSG:4326
2025-02-21 11:44:17,871 - INFO - Starting reverse geocoding for 7961 locations
2025-02-21 11:44:39,844 - WARNING - Failed to geocode location 9: (52.97373803536985, 6.480049002261983)
2025-02-21 11:44:43,833 - WARNING - Failed to geocode location 2: (53.149831930498216, 6.569378641074068)
2025-02-21 11:44:48,619 - WARNING - Failed to geocode location 1: (52.78784351873686, 6.546860927522439)
2025-02-21 11:44:49,603 - WARNING - Failed to geocode location 10: (53.03238220008672, 6.394647766214309)
2025-02-21 11:44:54,771 - WARNING - Failed to geocode location 5: (52.92170920592903, 6.79637243112866)
2025-02-21 11:44:55,763 - WARNING - Failed to geocode location 8: (53.00170985591593, 6.771176789645788)
2025-02-21 11:44:55,790 - WARNING - Failed to geocode location 4: (52.967456011839964, 6.954344590131465)
2025-02-21 11:44:56,764 - WARNING - Failed to geocode location 0: (52.9018553787113, 6.921836610584994)
2025-02-21 11:44:56,782 - WARNING - Failed to geocode location 3: (52.988749845445476, 6.853247922945581)
2025-02-21 11:44:57,800 - WARNING - Failed to geocode location 7: (52.94373214800358, 6.902117684707662)
2025-02-21 11:44:58,779 - WARNING - Failed to geocode location 11: (52.85570320293675, 6.607989182284087)
2025-02-21 11:44:59,788 - WARNING - Failed to geocode location 6: (52.90616636845206, 6.394945325604187)
