id,name,geom,type,type_validated,start_date,end_date,municipality,province,num_branches,active_1950_1959,active_1960_1969,active_1970_1979,active_1980_1989,active_1990_1999,active_2000_2009,active_2010_2019,active_2020_2029
01VI,P.C. basisschool De Parkschool,POINT(5.17820676974601 52.1015489),BAS,True,1-8-1985,,AMERSFOORT,Utrecht,1,False,False,False,True,True,True,True,True
01VQ,Rk Bs Beekvliet,POINT(4.8052322 52.3587859),BAS,True,1-8-1986,,VELSERBROEK,Noord-Holland,2,False,False,False,True,True,True,True,True
01VR,Montessorischool Nieuwerkerk aan den Ijssel,POINT(4.8689263 51.798914),BAS,True,1-8-1986,,NIEUWERKERK AD IJSSEL,Zuid-Holland,1,False,False,False,True,True,True,True,True
01VY,Basisschool De Lingewaard,POINT(4.9920446 51.8613311),BAS,True,1-8-1985,,ARKEL,Zuid-Holland,1,False,False,False,True,True,True,True,True
01WQ,Basisschool De Rank - school met de Bijbel,POINT(6.5612093 53.2200986),BAS,True,1-8-1985,,RODEN,Drenthe,1,False,False,False,True,True,True,True,True
01WS,Helderse Vrije School,POINT(6.7932919 52.2630907),BAS,True,1-8-1985,1-8-2006,DEN HELDER,Noord-Holland,1,False,False,False,True,True,True,False,False
01WU,Vrije School De Regenboog,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,EINDHOVEN,Noord-Brabant,1,False,False,False,True,True,True,True,True
01XH,Basisschool De Ammers,POINT(6.8937885 52.2197423),BAS,True,1-8-1985,,GROOT-AMMERS,Zuid-Holland,1,False,False,False,True,True,True,True,True
01XU,Hildegaertschool,POINT(6.8954111 52.2212261),BAS,True,1-8-1985,,ROTTERDAM,Zuid-Holland,1,False,False,False,True,True,True,True,True
02ZF,obs De Vlindertuin,POINT(4.9663581 51.9550813),BAS,True,1-8-1985,,AMEIDE,Utrecht,1,False,False,False,True,True,True,True,True
02ZW,Gereformeerde Basisschool 't Schrijvertje,POINT(5.981292335181232 52.2284012),BAS,True,1-8-1985,,APELDOORN,Gelderland,1,False,False,False,True,True,True,True,True
02ZY,De Wingerd,POINT(4.2286549 51.4759263),BAS,True,1-8-1985,,GOES,Zeeland,1,False,False,False,True,True,True,True,True
03AG,Protestants Christelijk Basisschool De Hoeksteen,POINT(3.6180649 51.5802566),BAS,True,1-8-1986,,VELSERBROEK,Noord-Holland,1,False,False,False,True,True,True,True,True
03AH,Venlose Montessorischool,POINT(6.1706065 51.3770684),BAS,True,1-8-1986,,VENLO,Limburg,1,False,False,False,True,True,True,True,True
03AI,Vrije School De Kleine Prins,POINT(4.8682673 51.801082),BAS,True,1-8-1986,,DOETINCHEM,Gelderland,1,False,False,False,True,True,True,True,True
03AN,Basisschool Azelo,POINT(6.7146153 52.2964757),BAS,True,1-8-1985,,AMBT DELDEN,Overijssel,1,False,False,False,True,True,True,True,True
03AP,Basisschool De Belhamel,POINT(5.4316109 51.3575937),BAS,True,1-8-1985,,VALKENSWAARD,Noord-Brabant,1,False,False,False,True,True,True,True,True
03AZ,De Rank,POINT(4.73362 52.6417023),BAS,True,1-8-1985,,ALKMAAR,Noord-Holland,1,False,False,False,True,True,True,True,True
03BA,Jan van Rijckenborghschool,POINT(6.8934123 52.2192168),BAS,True,1-8-1985,,HILVERSUM,Noord-Holland,1,False,False,False,True,True,True,True,True
03BR,Basisschool De Kring,POINT(6.8975288 52.2206885),BAS,True,1-8-1985,,BEEK LB,Limburg,1,False,False,False,True,True,True,True,True
03BS,Openbare School Dr M L Kingschool,POINT(7.001845982739536 52.37967745),BAS,True,1-8-1985,,DENEKAMP,Overijssel,1,False,False,False,True,True,True,True,True
03BT,Openbare Basisschool Prinses Irene,POINT(6.8935914 52.2204351),BAS,True,1-8-1985,,GRAMSBERGEN,Overijssel,1,False,False,False,True,True,True,True,True
03BV,De Trumakkers,POINT(6.094789979057632 51.398796700000005),BAS,True,1-8-1985,,HEEZE,Noord-Brabant,1,False,False,False,True,True,True,True,True
03BX,Openbare Basisschool De Hobbitstee,POINT(4.9523198 52.0394174),BAS,True,1-8-1985,,MONTFOORT,Utrecht,1,False,False,False,True,True,True,True,True
03BY,Openbare Basisschool De Wijzer,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,BENEDEN-LEEUWEN,Gelderland,1,False,False,False,True,True,True,True,True
03CJ,Montessorischool,POINT(3.895969 51.4938235),BAS,True,1-8-1985,,GOES,Zeeland,1,False,False,False,True,True,True,True,True
03CL,Lubertischool,POINT(4.7598544 53.0967425),BAS,True,1-8-1985,,DE KOOG,Noord-Holland,1,False,False,False,True,True,True,True,True
03CO,Gereformeerd Basisschool De Wegwijzer,POINT(6.1091961 52.7801696),BAS,True,1-8-1986,,STEENWIJK,Overijssel,1,False,False,False,True,True,True,True,True
03CT,De Golfslag,POINT(4.2286549 51.4759263),BAS,True,1-8-1985,,DOMBURG,Zeeland,1,False,False,False,True,True,True,True,True
03CV,De Zwerm,POINT(4.8872766 52.3701828),BAS,True,1-8-1985,,SINT MAARTEN,Noord-Holland,1,False,False,False,True,True,True,True,True
03DF,Openbare Basisschool Kromme Akkers,POINT(6.494009 53.302418),BAS,True,1-8-1985,,GARNWERD,Groningen,1,False,False,False,True,True,True,True,True
03DG,Openbare School Klinkenborg,POINT(6.858206965213647 53.43754245),BAS,True,1-8-1985,,KANTENS,Groningen,1,False,False,False,True,True,True,True,True
03DH,Openbare Jenaplan Basisschool De Omnibus,POINT(4.8689263 51.798914),BAS,True,1-8-1985,,BAARLO LB,Limburg,1,False,False,False,True,True,True,True,True
03DJ,Basisschool De Jutter,POINT(5.1094235 52.1197434),BAS,True,1-8-1985,,VLIELAND,Friesland,1,False,False,False,True,True,True,True,True
03DK,obs De Dorpsschool,POINT(6.3141451 52.1042797),BAS,True,1-8-1985,,VORDEN,Gelderland,1,False,False,False,True,True,True,True,True
